"Event ID","Title","Description","Start Date","End Date","Start Time","End Time","Setup","Teardown","Location","Library Branch","Event Organizer","Presenter","Audiences","Categories","Publishing Status","Internal Tags","Event Note","Registration Required","In-Person Seats","Online Seats","Confirmed Registrations","Waiting-List Registrations","Cancelled Registrations","Anticipated Attendance","Actual Attendance (In Person)","Actual Attendance (Online)","Confirmed Attendance","Event URL"
"12467310","40 Carrots Partners in Play - Rocky Bluff Branch","Drop in to enjoy a special uninterrupted playtime with your child in our FREE Partners in Play® (PIP) groups. Meet our friendly Parenting Educators and discover how play and learning go hand-in-hand. First come, first serve. Limit of 12 families.","2024-06-28","2024-06-28","12:30","13:30","","","Meeting Room","Rocky Bluff Branch Library","Jenn L-Manatee","","Babies (0-18 months)","Education, Fun & Games, Literacy","Published","Free","","No","0","0","0","0","0","0","17","","0","https://manateelibrary.libcal.com/event/12467310"
"12234230","Make Your Own Dice!","Do you play Dungeons and Dragons? Do you like tabletop games? In this program, you will get to create your own unique dice from resin molds! Create cool dice by using Mica powder, food dye, glitter, random objects or mini 3d prints! The possibilities are endless","2024-06-28","2024-06-28","13:00","14:00","","","Area 52","Central Library","Lindsay Gillis","","Teens (13-18 years)","Crafts","Published","Free","","Yes","5","0","5","2","1","0","2","","3","https://manateelibrary.libcal.com/event/12234230"
"12199100","Musical Motion","Musical Motion is a fun parent-child learn & play class that encourages bonding while developing early learning and literacy skills in children. Sessions focus on creative activities that enhance brain development and build preschoolers' social skills, language skills, motor skills, and more. ","2024-06-28","2024-06-28","13:00","14:00","","","Auditorium","Palmetto Branch Library","Keelia M - Manatee County Public Library System","","Babies (0-18 months), Preschool (3-5 years)","Education, Fun & Games","Published","County-funded","","No","0","0","0","0","0","0","30","","0","https://manateelibrary.libcal.com/event/12199100"
"12589696","Cricut Open Hours","If you have already completed our Beginner Intro to Cricut class, you are welcome to bring your own materials and come use our Cricut machines and tools to get crafty in the Workshop! We will also have a knowledgeable volunteer here to support your projects. (All participants must be at least 13 years old and have signed a Workshop Waiver.) 

 ","2024-06-28","2024-06-28","14:00","16:00","","","The Workshop (#118)","Lakewood Ranch Library","Sabrina Hornyak - Manatee County Public Library System","Steve Aldrich","Adults (18+), Teens (13-18 years)","Crafts, Makerspace","Published","Friends-funded","","Yes","15","0","5","0","1","0","3","","0","https://manateelibrary.libcal.com/event/12589696"
"12193792","Mindfulness Meditation","Join author/instructor Ruth Fishel to learn how to incorporate mindfulness meditation into your life. 

Audience: 18+ ","2024-06-28","2024-06-28","14:00","15:00","","","Meeting Room","Rocky Bluff Branch Library","Kaitlynn Bosley","","Adults (18+)","Health/Fitness/Wellness","Published","Friends-funded","","Yes","20","0","5","0","1","0","4","","0","https://manateelibrary.libcal.com/event/12193792"
"12175988","Rock Garden Rock Painting","Join local artist volunteer Cheryl to paint beautiful rocks to add to our very own Island Library Rock Garden! Learn how to get involved in this global kindness project to paint rocks and hide around the community. All materials provided! Sponsored by the Friends of the Island Library","2024-06-28","2024-06-28","14:00","15:30","","","Meeting Room","Island Branch Library","Savannah Byers","","Adults (18+), All Ages","Crafts, Sponsored by the Friends of the Library","Published","Friends-funded","","Yes","12","0","9","0","4","0","13","","0","https://manateelibrary.libcal.com/event/12175988"
"12208267","One-on-One Tech Help (English)","One-on-One tech assistance: Androids, iPhones, tablets, laptops, e-books/audiobooks, and more. NOTE: We cannot repair devices and cannot fill out forms for patrons.","2024-06-28","2024-06-28","15:00","15:30","","","","Braden River Branch Library","Susan Hustwit","","Adults (18+)","Technology > One-on-One Help ","Published","Free","","Yes","1","0","1","0","0","0","1","","0","https://manateelibrary.libcal.com/event/12208267"
"12163551","Beginning Line Dancing","Join dance Instructor Chako Isgro for a fun-filled ninety minutes of beginning line dancing! The practice of line dancing is great for your overall health and well-being. ","2024-06-28","2024-06-28","16:00","17:30","","","Meeting Room","South Manatee Branch Library","David Breakfield, South Manatee Library Supervisor","Chako Isgro","Adults (18+)","Health/Fitness/Wellness","Published","Friends-funded","","Yes","15","0","11","0","2","0","11","","0","https://manateelibrary.libcal.com/event/12163551"
"12199310","CANCELLED: Rooftop Yoga","Cancelled: we will resume rooftop yoga on July 6th, 2024 at 9:30 am. Please register here!","2024-06-29","2024-06-29","09:30","10:30","","","Rooftop","Lakewood Ranch Library","Tiffany Mautino","Isiah","Adults (18+)","Health/Fitness/Wellness","Published","Free","","No","0","0","13","0","0","0","","","0","https://manateelibrary.libcal.com/event/12199310"
"12568046","20s and 30s Book Club: Gone Girl, by Gillian Flynn"," 

Looking to meet others in their 20s and 30s? Join us this month as we discuss the suspense-thriller Gone Girl by Gillian Flynn. Attendees are also encouraged to watch the 2014 movie adaptation of Gone Girl by director David Fincher for some additional conversation. Copies of both are available through the Manatee County Public Library system, so reserve yours today! 



Whether you loved it, liked it, or hated it, we hope to see you for a fun and interesting discussion!



Disclaimer: This is a suspense-thriller that includes mature content and depictions of violence. 



This event is intended for those aged 20-39. Registration is required.","2024-06-29","2024-06-29","10:00","11:00","","","Meeting Room","South Manatee Branch Library","Kira Thoenes - Manatee County Public Library","","Adults (18+)","Literacy > Book Clubs & Author Talks","Published","","","Yes","30","0","2","0","1","0","3","","0","https://manateelibrary.libcal.com/event/12568046"
